,texts
1003,বাঁশের লাঠি তৈরি কর ভোট চোরদের বিদায় কর গণতন্ত্র মুক্ত কর
1004,এক সমাবেশে বুঝিয়ে বিএনপি
1005,বাংলাদেশের মানুষকে আওয়ামেলিক সরকার জেলখানায় বন্দী হাজারো আলেমওলামা হত্যা বিএনপির নেতাদের তাছাড়া পারেনী বর্তমান সরকার পতনের প্রয়োজন সুষ্ঠু নির্বাচন
1006,শুভ কামনা রইল সবসময়
1007,গণ পরিবহন বন্ধ দিয়ে সরকার গণ সমাবেশ বন্ধ পারেনি সরকার পতন হাওয়া আন্দোলন চলবে
1008,কভা রে ম হিলা দের ছ দিয়া নারা য়ে তাক বির ইসলাম অবমাননা
1009,ডিগ্রি পাশ
1010,ভোটাধিকার ফিরিয়ে আনতে গনতন্ত্রের দেশে গনতন্ত্র ফিরিয়ে আনতে এইভাবে দেশ চলতে শিক্ষিত তরুণ প্রজন্ম জেগে উঠলে দেশের নোংরা রাজনীতি বিলুপ্ত ইনশাল্লাহ
1011,মানুষ বিএনপির সমাবেশে হাজির স্বৈরাচারের পতন নিশ্চিত
1012,মানুষ ভোটাধিকার ফেরত চাই নিরেপক্ষ সরকারের অধীনে নির্বাচন চাই দিনের ভোট দিনে চাই নীশি রাতের ভোট চাই
1013,ভোট চোরের আমলে সুষ্ঠু নিরপেক্ষ নির্বাচন সম্ভব
1014,নারায়ে তাকবীর আল্লাহু আকবার
1015,শুভ কামনা
1016,আওয়ামীলীগের একজন
1017,বিনোদন দিবে
1018,বিএনপি বিনদন পাটি
1019,স্বৈরাচারের পতন চাই বাংলাদেশের জনগণ
1020,বাংলাদেশের দলই
1021,জিয়ার সৈনিক এক হও এক হও
1022,পেজ ফলো করুন ব্যাক পাবেন ইনশাআল্লাহ
1023,বিএনপি বাংলাদেশের সবচেয়ে জনপ্রিয় রাজনৈতিক দল
1024,বিনপি সমাধান দিবে ত আগষ্ঠ মামলার বাধনে বাধা গুলো মিথা
1025,ইনশাআল্লাহ গনতন্ত্রের জননী দেশমাতা বেগম খালেদা জিয়া ছাড়া বাংলাদেশে নির্বাচন হবেনা
1026,দানব সরকারকে হঠাতে আন্দোলনের বিকল্প
1027,নিরপক্ষ নির্দলীয় তথ্যাবদায়ক সরকারের অধিনে জাতীয় নির্বাচন
1028,খালেদা জিয়ার তারেক রহমানের মুক্তি চাই
1029,জাতীর ভোটের অধিকার ফিরিয়ে
1030,দ্রব্য মূল্যের দাম স্থিতিশিল
1031,বলেছিল মানুষ ১০ ১৫হাজার হা হা
